id_paciente,nombre,telefono,email,doctor_preferido
99185535,Daniel César Castillo Rubio,+57 308 385 89 86,danielcésarcastillorubio@gmail.com,
1013331230,Sofía Amanda Oviedo,304 238 41 27,sofíaamandaoviedo@gmail.com,
2124668,Gloria Camila Martínez Marín,57 326 751 04 76,gloriacamilamartínezmarín@hotmail.com,
1115398396,Adela Jaimes Montenegro,412 56 95,adelajaimesmontenegro@yahoo.com,
1091200676,Nelsy Castro,+573142739972,nelsycastro@yahoo.com,
1026352689,Milena Amparo García Gómez,304 482 86 42,milenaamparogarcíagómez@gmail.com,
1061389235,Rafael Stiven Álvarez,+57 322 273 60 45,rafaelstivenálvarez@gmail.com,
1001809584,Danilo Carlos Medina,+57 601 382 03 75,danilocarlosmedina@gmail.com,
17189517,Yeison Castro,+57 303 722 66 48,yeisoncastro@gmail.com,
18722919,Felipe Mosquera,57 308 309 31 12,felipemosquera@hotmail.com,
1158598848,Wilmer Gutiérrez,(+57)3164378257,wilmergutiérrez@yahoo.com,
1262015,Ximena Fernández,601 582 83 63,ximenafernández@gmail.com,
1039192547,Shirley Elizabeth Barrera,+57 320 085 45 61,shirleyelizabethbarrera@gmail.com,
1225456675,Michel Parra,(+57)3101669134,michelparra@yahoo.com,
1039481862,Fernando José Ortiz Velásquez,+573105363715,fernandojoséortizvelásquez@gmail.com,
1159342811,Andrés Muñoz,310 872 62 11,andrésmuñoz@yahoo.com,
53096316,Diego Jesús Méndez,(+57)3155503398,diegojesúsméndez@hotmail.com,
86240891,Ruth Restrepo Rivera,(+57)6039729795,ruthrestreporivera@gmail.com,
1200606959,Luis Carlos Sánchez Acevedo,309 622 96 73,luiscarlossánchezacevedo@yahoo.com,
1207546085,Carlos Juan Rojas Melo,+57 316 913 85 26,carlosjuanrojasmelo@yahoo.com,
1159600558,Blanca Molano López,01 8000 039 539,blancamolanolópez@yahoo.com,
8110969,Edith Nancy Nieto Arrieta,3290268601,edithnancynietoarrieta@hotmail.com,
41721026,Camilo Zapata,+573031268116,camilozapata@yahoo.com,1169964632
1128999401,Catalina Patricia Gonzáles Molano,573042680446,catalinapatriciagonzálesmolano@gmail.com,
28384434,Cristian Díaz Santos,3294147506,cristiandíazsantos@yahoo.com,
74834224,Johan Estrada Mosquera,+576029075492,johanestradamosquera@gmail.com,6163877
1260122324,Andrés Humberto Camacho,+573092361420,andréshumbertocamacho@gmail.com,
4732112,Viviana Mosquera Cruz,576031543102,vivianamosqueracruz@gmail.com,
1014754872,Javier Gutiérrez,317 977 17 77,javiergutiérrez@hotmail.com,
5097198,Milena Velásquez Velandia,018007600025,milenavelásquezvelandia@yahoo.com,
